Group Segment,Revenue,Expenses
Medium,8249.32767,594.878242
Medium,6557.872983,83.33938597
Small,6180.035747,551.2667804
Medium,9915.454311,336.8576784
Small,4047.669178,481.0083009
Small,4797.087505,962.3550943
Small,6537.800101,931.9697248
Medium,3151.422775,848.213517
Big,9504.781827,827.5632244
Medium,9378.14047,566.7976536
Big,6772.133042,436.8799836
Small,1854.632158,930.5482506
Big,8303.942664,680.750372
Small,6741.460064,418.0317385
Small,4151.439758,336.4056384
Small,7972.301891,917.1406009
Big,10331.57847,440.4744097
Small,3695.193021,217.6562865
Small,7904.293625,764.5839324
Medium,849.2599248,94.51703664
Big,7157.627549,915.9245387
Medium,3712.565012,432.5485875
Small,7596.439503,134.822588
Small,2198.657793,1037.294425
Big,4723.995875,463.2899116
Medium,1331.264518,959.2307323
Medium,2743.802619,222.9192619
Big,5038.306813,306.9576869
Small,10458.26602,692.7631083
Small,7567.035149,720.319064
Big,7688.434159,851.8513375
Small,4023.22738,166.4942196
Medium,4551.60367,701.0456589
Medium,2665.114093,654.9796658
Small,6589.124662,278.1883838
Medium,5220.42694,589.1737959
Medium,7282.188757,387.5496207
Small,6444.583631,258.5026826
Small,10299.02926,287.8049258
Small,9841.229575,824.4756792
Small,8237.847836,48.29593583
Medium,6221.248622,414.8820747
Medium,5401.241819,877.967909
Small,10013.81117,807.8507674
Big,8466.699812,450.5696926
Small,8382.214302,958.2511684
Small,8105.417292,647.6468244
Small,10051.25539,1003.729882
Small,3667.20119,680.7146779
Small,7822.061839,924.3562961
Small,4575.527172,657.6493201
Small,3178.196919,756.2079622
Small,1734.412429,864.1463819
Medium,8601.066096,666.9245543
Medium,8328.445677,898.7091878
Medium,9715.270001,536.2618535
Medium,4722.773352,837.7133332
Medium,3434.694118,574.1248994
Small,8696.755983,581.4444768
Medium,9195.079595,1000.672973
Big,4168.871715,650.9037446
Big,885.2432428,323.9768853
Medium,3222.210543,760.2840913
Small,3185.181743,455.464728
Small,5050.975928,618.3260163
Small,306.0780834,275.3065373
Small,9598.976749,613.2911599
Small,10338.80065,979.8520025
Medium,7350.61229,271.9879436
Small,7506.472645,408.0083326
Small,1939.781098,413.9417923
Big,7692.216849,1015.874301
Big,1060.486546,607.3436712
Medium,738.5081579,431.4749433
Small,8174.839178,206.6453097
Small,4368.806237,203.3753447
Small,1292.519503,123.1056275
Big,2210.748757,465.5261879
Big,4240.744632,737.0688535
Small,5927.04203,501.2388429
Small,2597.35366,489.9869777
Small,9549.486817,835.0236505
Small,3931.33437,191.4213295
Small,8578.80358,670.2412286
Big,1946.136656,273.5117357
Medium,9021.016431,402.0587254
Medium,5575.67174,148.3339741
Big,1193.066162,148.1347431
Small,10340.53335,250.0846509
Small,5512.767657,542.6187225
Medium,2555.999067,824.1294904
Small,10157.81367,508.1698277
Medium,8921.521857,259.3318537
Big,10494.4433,565.4318597
Medium,7007.768245,765.6916988
Medium,4811.037753,193.1749368
Small,8657.827185,171.6024125
Medium,8204.320599,278.7477844
Small,4246.883191,644.516491
