Subdivision,Group Segment,Revenue,Expenses
Bigger,Medium,8249.32767,594.878242
Bigger,Medium,6557.872983,83.33938597
Pretty Small,Small,6180.035747,551.2667804
Bigger,Medium,9915.454311,336.8576784
Very Small,Small,4047.669178,481.0083009
Pretty Small,Small,4797.087505,962.3550943
Pretty Small,Small,6537.800101,931.9697248
Not as Big,Medium,3151.422775,848.213517
Not Real Big,Big,9504.781827,827.5632244
Not as Big,Medium,9378.14047,566.7976536
Not Real Big,Big,6772.133042,436.8799836
Pretty Small,Small,1854.632158,930.5482506
More than 500,Big,8303.942664,680.750372
Pretty Small,Small,6741.460064,418.0317385
Very Small,Small,4151.439758,336.4056384
Pretty Small,Small,7972.301891,917.1406009
Not Real Big,Big,10331.57847,440.4744097
Pretty Small,Small,3695.193021,217.6562865
Pretty Small,Small,7904.293625,764.5839324
Bigger,Medium,849.2599248,94.51703664
More than 500,Big,7157.627549,915.9245387
Bigger,Medium,3712.565012,432.5485875
Very Small,Small,7596.439503,134.822588
Very Small,Small,2198.657793,1037.294425
Not Real Big,Big,4723.995875,463.2899116
Bigger,Medium,1331.264518,959.2307323
Not as Big,Medium,2743.802619,222.9192619
More than 500,Big,5038.306813,306.9576869
Very Small,Small,10458.26602,692.7631083
Pretty Small,Small,7567.035149,720.319064
More than 500,Big,7688.434159,851.8513375
Pretty Small,Small,4023.22738,166.4942196
Not as Big,Medium,4551.60367,701.0456589
Not as Big,Medium,2665.114093,654.9796658
Very Small,Small,6589.124662,278.1883838
Not as Big,Medium,5220.42694,589.1737959
Not as Big,Medium,7282.188757,387.5496207
Pretty Small,Small,6444.583631,258.5026826
Very Small,Small,10299.02926,287.8049258
Pretty Small,Small,9841.229575,824.4756792
Very Small,Small,8237.847836,48.29593583
Bigger,Medium,6221.248622,414.8820747
Bigger,Medium,5401.241819,877.967909
Very Small,Small,10013.81117,807.8507674
More than 500,Big,8466.699812,450.5696926
Pretty Small,Small,8382.214302,958.2511684
Very Small,Small,8105.417292,647.6468244
Very Small,Small,10051.25539,1003.729882
Pretty Small,Small,3667.20119,680.7146779
Pretty Small,Small,7822.061839,924.3562961
Very Small,Small,4575.527172,657.6493201
Pretty Small,Small,3178.196919,756.2079622
Pretty Small,Small,1734.412429,864.1463819
Bigger,Medium,8601.066096,666.9245543
Bigger,Medium,8328.445677,898.7091878
Not as Big,Medium,9715.270001,536.2618535
Bigger,Medium,4722.773352,837.7133332
Not as Big,Medium,3434.694118,574.1248994
Very Small,Small,8696.755983,581.4444768
Not as Big,Medium,9195.079595,1000.672973
Not Real Big,Big,4168.871715,650.9037446
Not Real Big,Big,885.2432428,323.9768853
Bigger,Medium,3222.210543,760.2840913
Pretty Small,Small,3185.181743,455.464728
Pretty Small,Small,5050.975928,618.3260163
Very Small,Small,306.0780834,275.3065373
Pretty Small,Small,9598.976749,613.2911599
Very Small,Small,10338.80065,979.8520025
Bigger,Medium,7350.61229,271.9879436
Very Small,Small,7506.472645,408.0083326
Very Small,Small,1939.781098,413.9417923
More than 500,Big,7692.216849,1015.874301
Not Real Big,Big,1060.486546,607.3436712
Bigger,Medium,738.5081579,431.4749433
Very Small,Small,8174.839178,206.6453097
Very Small,Small,4368.806237,203.3753447
Pretty Small,Small,1292.519503,123.1056275
More than 500,Big,2210.748757,465.5261879
Not Real Big,Big,4240.744632,737.0688535
Very Small,Small,5927.04203,501.2388429
Very Small,Small,2597.35366,489.9869777
Very Small,Small,9549.486817,835.0236505
Pretty Small,Small,3931.33437,191.4213295
Pretty Small,Small,8578.80358,670.2412286
More than 500,Big,1946.136656,273.5117357
Not as Big,Medium,9021.016431,402.0587254
Not as Big,Medium,5575.67174,148.3339741
More than 500,Big,1193.066162,148.1347431
Very Small,Small,10340.53335,250.0846509
Very Small,Small,5512.767657,542.6187225
Not as Big,Medium,2555.999067,824.1294904
Pretty Small,Small,10157.81367,508.1698277
Bigger,Medium,8921.521857,259.3318537
More than 500,Big,10494.4433,565.4318597
Bigger,Medium,7007.768245,765.6916988
Not as Big,Medium,4811.037753,193.1749368
Pretty Small,Small,8657.827185,171.6024125
Bigger,Medium,8204.320599,278.7477844
Pretty Small,Small,4246.883191,644.516491
