Subdivision,Group Segment,Revenue,Expenses,Service Month,Paid Month
Bigger,Medium,8249.32767,594.878242,Jan-07,Feb-07
Bigger,Medium,6557.872983,83.33938597,Feb-07,Apr-07
Pretty Small,Small,6180.035747,551.2667804,Mar-07,Apr-07
Bigger,Medium,9915.454311,336.8576784,Apr-07,May-07
Very Small,Small,4047.669178,481.0083009,May-07,May-07
Pretty Small,Small,4797.087505,962.3550943,Jan-07,Apr-07
Pretty Small,Small,6537.800101,931.9697248,Feb-07,Feb-07
Not as Big,Medium,3151.422775,848.213517,Mar-07,Jun-07
Not Real Big,Big,9504.781827,827.5632244,Apr-07,Sep-07
Not as Big,Medium,9378.14047,566.7976536,May-07,May-07
Not Real Big,Big,6772.133042,436.8799836,Jan-07,Jan-07
Pretty Small,Small,1854.632158,930.5482506,Feb-07,Feb-07
More than 500,Big,8303.942664,680.750372,Mar-07,Apr-07
Pretty Small,Small,6741.460064,418.0317385,Apr-07,Apr-07
Very Small,Small,4151.439758,336.4056384,May-07,Jun-07
Pretty Small,Small,7972.301891,917.1406009,Jan-07,Jan-07
Not Real Big,Big,10331.57847,440.4744097,Feb-07,Feb-07
Pretty Small,Small,3695.193021,217.6562865,Mar-07,Apr-07
Pretty Small,Small,7904.293625,764.5839324,Apr-07,Jun-07
Bigger,Medium,849.2599248,94.51703664,May-07,May-07
More than 500,Big,7157.627549,915.9245387,Jan-07,Jan-07
Bigger,Medium,3712.565012,432.5485875,Feb-07,May-07
Very Small,Small,7596.439503,134.822588,Mar-07,May-07
Very Small,Small,2198.657793,1037.294425,Apr-07,Apr-07
Not Real Big,Big,4723.995875,463.2899116,May-07,May-07
Bigger,Medium,1331.264518,959.2307323,Jan-07,Jan-07
Not as Big,Medium,2743.802619,222.9192619,Feb-07,Mar-07
More than 500,Big,5038.306813,306.9576869,Mar-07,Mar-07
Very Small,Small,10458.26602,692.7631083,Apr-07,Apr-07
Pretty Small,Small,7567.035149,720.319064,May-07,May-07
More than 500,Big,7688.434159,851.8513375,Jan-07,Jan-07
Pretty Small,Small,4023.22738,166.4942196,Feb-07,Feb-07
Not as Big,Medium,4551.60367,701.0456589,Mar-07,Mar-07
Not as Big,Medium,2665.114093,654.9796658,Apr-07,Apr-07
Very Small,Small,6589.124662,278.1883838,May-07,Jun-07
Not as Big,Medium,5220.42694,589.1737959,Jan-07,Jul-07
Not as Big,Medium,7282.188757,387.5496207,Feb-07,Feb-07
Pretty Small,Small,6444.583631,258.5026826,Mar-07,Apr-07
Very Small,Small,10299.02926,287.8049258,Apr-07,May-07
Pretty Small,Small,9841.229575,824.4756792,May-07,May-07
Very Small,Small,8237.847836,48.29593583,Jan-07,Jan-07
Bigger,Medium,6221.248622,414.8820747,Feb-07,Apr-07
Bigger,Medium,5401.241819,877.967909,Mar-07,Apr-07
Very Small,Small,10013.81117,807.8507674,Apr-07,Jun-07
