Group Name,Group Segment,Revenue,Expenses,Net Income/Loss
Postcards Store,Big,8249.32767,594.878242,7654.449428
Randles Roadshack,Small,6557.872983,83.33938597,6474.533597
Examineers Inc,Medium,6180.035747,551.2667804,5628.768967
Buttersworth Co,Small,9915.454311,336.8576784,9578.596633
FASST Trax,Small,4047.669178,481.0083009,3566.660877
Hula Hoopers,Big,4797.087505,962.3550943,3834.73241
Hehehe,Medium,6537.800101,931.9697248,5605.830376
Marleyville Tea,Small,3151.422775,848.213517,2303.209258
Creepy Lada,Medium,9504.781827,827.5632244,8677.218603
Jokes R Us,Big,9378.14047,566.7976536,8811.342816
Petie's Palace,Small,6772.133042,436.8799836,6335.253059
Ramone's Castle,Big,48922666.9867,41584266.94,7338400.048
